priority,NCommentT,NActor,meanCommentSize,ticketCleanedBodyLen,nticketsByCreatorOpen,nClosedticketsByCreatorOpen,nCommentsByCreator,NCommentByActorsT,NticketsCreatedInProject,NticketsCreatedInProjectT,NticketsCreatedInProjectClosed,NticketsCreatedInProjectClosedT,NActivityInProject,NActivityInProjectT,chainLength,longTimeHold,lateTriageDays,InitialActivityCount,InitialActionCount,recentActionCount,recentActivityCount,activitysequence,projectCoverage
2,0,0,0.000000,84,1,1,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.736073,0.235612
0,4,7,26.000000,419,1,1,4,1,348,49,348,49,9064,1369,0,0,0,2.800000,0.200000,0.200000,0.800000,0.490665,0.235612
1,0,4,0.000000,12,0,0,287,175,52,18,52,18,1636,491,1,0,6,0.400000,0.000000,0.000000,0.066667,0.049789,0.495007
1,2,3,25.000000,386,0,0,0,0,3,1,3,1,217,50,0,0,0,1.133333,0.133333,0.066667,0.800000,0.034332,0.176849
0,2,3,33.500000,41,0,0,3,10,152,15,152,15,3652,349,2,1,0,1.000000,0.000000,0.800000,2.400000,0.118681,0.004145
1,5,5,20.000000,32,1,1,33,20,88,5,88,5,2624,290,1,0,0,1.266667,0.266667,0.133333,0.733333,0.044911,0.026683
0,1,1,10.000000,238,53,52,0,0,180,71,180,71,4438,1828,0,0,0,0.200000,0.000000,0.000000,0.200000,0.916483,0.235612
1,4,10,28.750000,70,27,27,0,0,3,0,3,0,95,0,3,1,22,1.133333,0.000000,0.266667,1.866667,0.038548,0.004132
1,1,3,115.000000,37,0,0,0,0,49,1,49,1,1815,47,0,0,2,0.333333,0.000000,0.000000,0.066667,0.060168,0.310967
0,0,2,0.000000,163,7,7,22,52,19,2,19,2,574,46,0,0,0,0.200000,0.000000,0.000000,0.200000,0.912594,0.327198
1,2,2,11.500000,46,3,3,14,10,21,3,21,3,737,93,0,0,0,0.533333,0.133333,0.133333,0.733333,0.097177,0.188180
1,1,5,115.000000,113,23,23,0,0,105,30,105,30,3753,1197,0,0,0,0.333333,0.133333,0.000000,0.200000,0.754711,0.357736
0,6,6,12.833333,286,0,0,4,16,6,2,6,2,209,64,1,0,0,3.600000,0.000000,0.000000,1.600000,0.232164,0.539677
0,0,0,0.000000,44,51,50,132,16,177,71,177,71,4345,1803,0,0,0,0.000000,0.000000,0.000000,0.000000,0.919604,0.235612
0,0,3,0.000000,351,17,15,53,88,9,8,9,8,208,191,0,0,12,0.200000,0.000000,0.000000,0.800000,0.277342,0.156470
0,3,3,20.333333,58,0,0,0,0,10,1,10,1,271,62,0,0,0,2.600000,0.600000,0.200000,1.200000,0.652072,0.024038
0,0,0,0.000000,170,3,3,0,0,97,45,97,45,2296,1103,0,0,0,0.000000,0.000000,0.000000,0.000000,0.919604,0.235612
0,3,4,17.666667,508,1,0,0,4,2,0,2,0,51,0,2,1,13,2.000000,0.000000,0.000000,2.600000,0.540229,0.004129
0,1,3,20.000000,99,7,7,10,68,133,15,133,15,3697,423,1,1,0,1.000000,0.000000,0.200000,0.800000,0.100885,0.287903
1,2,4,10.500000,302,8,8,0,0,13,1,13,1,262,27,0,0,0,0.266667,0.000000,0.066667,0.533333,0.099727,0.150463
2,0,2,0.000000,63,73,72,0,0,30,5,30,5,854,155,0,0,0,0.090909,0.000000,0.000000,0.000000,0.815457,0.104024
1,0,6,0.000000,155,0,0,0,0,89,13,89,13,3028,487,3,0,0,1.533333,0.200000,0.000000,0.066667,0.289905,0.300597
2,6,6,129.166667,106,101,97,393,115,3,0,3,0,89,0,2,0,0,0.909091,0.181818,0.000000,0.272727,0.134905,0.009841
1,0,4,0.000000,301,9,9,25,150,2,1,2,1,55,31,0,0,0,0.400000,0.000000,0.000000,0.000000,0.042399,0.169907
1,5,6,17.000000,94,0,0,0,0,1,0,0,0,55,0,1,0,0,0.866667,0.066667,0.066667,0.866667,0.045283,0.785049
0,4,7,45.500000,62,0,0,0,0,30,4,30,4,813,103,0,0,3,1.400000,0.000000,0.200000,1.800000,0.133865,0.038925
