parallel_changed_file_num,commit_num,file_added,file_removed,file_renamed,file_modified,file_copied,line_added,line_removed,developer_num,duration,commit_density,add_frequency,bug_frequency,change_frequency,delete_frequency,document_frequency,feature_frequency,fix_frequency,improve_frequency,refactor_frequency,remove_frequency,update_frequency,use_frequency,messages_min,messages_max,messages_mean,messages_median
0.000000,70.000000,27.000000,0.000000,0.000000,207.000000,0.000000,8001.000000,1434.000000,15.000000,46.000000,10.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,4.000000,0.000000,0.000000,0.000000,3.000000,2.000000,15.000000,74.000000,51.052632,55.000000
0.000000,23.000000,3.000000,0.000000,0.000000,119.000000,0.000000,2163.000000,1644.000000,1.000000,-24.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,54.000000,56.000000,55.000000,55.000000
0.000000,100.000000,-11.000000,-2.000000,0.000000,-141.000000,0.000000,-2023.000000,-375.000000,-20.000000,0.000000,2.000000,5.000000,0.000000,1.000000,1.000000,0.000000,0.000000,3.000000,0.000000,1.000000,2.000000,2.000000,4.000000,23.000000,92.000000,54.055556,55.000000
0.000000,4.000000,0.000000,0.000000,0.000000,5.000000,0.000000,62.000000,3.000000,1.000000,-12.000000,-100.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,2.000000,6.000000,70.000000,46.400000,50.500000
0.000000,7.000000,0.000000,-4.000000,0.000000,-25.000000,0.000000,-824.000000,-998.000000,-2.000000,-3.000000,1.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3.000000,1.000000,0.000000,2.000000,2.000000,1.000000,13.000000,63.000000,36.826087,40.000000
1.000000,13.000000,1.000000,0.000000,0.000000,-26.000000,0.000000,-623.000000,-253.000000,-2.000000,41.000000,1.000000,4.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,20.000000,89.000000,54.055556,56.500000
0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,-363.000000,-598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,69.000000,69.000000,69.000000,69.000000
0.000000,212.000000,-340.000000,-124.000000,0.000000,3.000000,0.000000,-218135.000000,-89139.000000,5.000000,-624.000000,-1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.000000,33.000000,33.000000,33.000000
0.000000,2.000000,0.000000,0.000000,0.000000,3.000000,0.000000,8.000000,3.000000,1.000000,-25.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,18.000000,87.000000,41.583333,40.000000
1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-23.000000,-10.000000,0.000000,8.000000,-3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,47.000000,35.666667,40.000000
0.000000,11.000000,3.000000,0.000000,0.000000,109.000000,0.000000,736.000000,547.000000,2.000000,-6.000000,1.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,20.000000,67.000000,43.150000,45.000000
0.000000,66.000000,-8.000000,0.000000,0.000000,-97.000000,0.000000,-1575.000000,-519.000000,-5.000000,67.000000,-8.000000,4.000000,0.000000,1.000000,2.000000,0.000000,0.000000,1.000000,0.000000,0.000000,2.000000,3.000000,2.000000,19.000000,80.000000,45.904762,43.000000
0.000000,9.000000,106.000000,0.000000,0.000000,30.000000,0.000000,18346.000000,493.000000,1.000000,-43.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,40.000000,76.000000,58.000000,58.000000
0.000000,35.000000,3.000000,4.000000,0.000000,31.000000,0.000000,299.000000,327.000000,-2.000000,-7.000000,37.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.000000,60.000000,42.750000,45.500000
