parallel_changed_file_num,commit_num,file_added,file_removed,file_renamed,file_modified,file_copied,line_added,line_removed,developer_num,duration,commit_density,add_frequency,bug_frequency,change_frequency,delete_frequency,document_frequency,feature_frequency,fix_frequency,improve_frequency,refactor_frequency,remove_frequency,update_frequency,use_frequency,messages_min,messages_max,messages_mean,messages_median
0.000000,3.000000,5.000000,0.000000,0.000000,7.000000,0.000000,53.000000,6.000000,0.000000,-16.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,1.000000,0.000000,20.000000,50.000000,33.571429,29.000000
0.000000,9.000000,-1.000000,0.000000,0.000000,-18.000000,0.000000,-188.000000,-27.000000,-4.000000,21.000000,-28.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.000000,44.000000,32.461538,31.000000
0.000000,316.000000,-106.000000,-34.000000,0.000000,-437.000000,0.000000,-12364.000000,-3676.000000,-28.000000,1488.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,1.000000,3.000000,1.000000,20.000000,65.000000,47.333333,48.000000
0.000000,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,2.000000,2.000000,1.000000,-591.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.000000,33.000000,33.000000,33.000000
0.000000,1.000000,0.000000,0.000000,0.000000,3.000000,0.000000,17.000000,4.000000,1.000000,-78.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,10.000000,112.000000,58.777778,52.000000
1.000000,29.000000,-5.000000,-3.000000,0.000000,-23.000000,0.000000,-1221.000000,-1100.000000,1.000000,2.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,54.000000,79.000000,62.666667,55.000000
0.000000,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,11.000000,1.000000,1.000000,-479.000000,-4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63.000000,63.000000,63.000000,63.000000
0.000000,5.000000,0.000000,0.000000,0.000000,15.000000,0.000000,191.000000,33.000000,0.000000,15.000000,7.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,1.000000,3.000000,2.000000,14.000000,74.000000,54.055556,60.500000
1.000000,14.000000,-2.000000,0.000000,0.000000,-43.000000,0.000000,-756.000000,-127.000000,-2.000000,93.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,49.000000,49.000000,49.000000,49.000000
0.000000,18.000000,-1.000000,0.000000,0.000000,-11.000000,0.000000,-1448.000000,-1360.000000,-6.000000,2857.000000,-1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,26.000000,74.000000,45.904762,47.000000
