priority,NCommentT,NActor,meanCommentSize,ticketCleanedBodyLen,nticketsByCreatorOpen,nClosedticketsByCreatorOpen,nCommentsByCreator,NCommentByActorsT,NticketsCreatedInProject,NticketsCreatedInProjectT,NticketsCreatedInProjectClosed,NticketsCreatedInProjectClosedT,NActivityInProject,NActivityInProjectT,chainLength,longTimeHold,lateTriageDays,InitialActivityCount,InitialActionCount,recentActionCount,recentActivityCount,activitysequence,projectCoverage
2,0,3,0.000000,68,11,11,56,30,17,9,17,9,475,211,0,0,0,0.318182,0.000000,0.000000,0.090909,0.104812,0.098393
0,1,2,23.000000,29,93,90,362,62,47,20,47,20,1163,472,0,0,0,1.200000,0.000000,0.200000,1.400000,0.137656,0.038976
1,5,7,45.800000,124,0,0,0,0,92,14,92,14,2837,519,0,0,0,0.800000,0.066667,0.133333,0.866667,0.590732,0.107085
1,7,8,36.428571,189,1,1,1,84,8,4,8,4,264,156,1,0,0,1.800000,0.000000,0.066667,0.533333,0.309697,0.259994
0,13,8,27.384615,98,4,4,0,0,16,2,16,2,426,47,3,1,0,3.600000,0.000000,0.600000,4.400000,0.096409,0.005016
1,0,4,0.000000,35,0,0,1,0,2,0,2,0,47,0,0,0,0,1.333333,0.000000,0.000000,0.200000,0.602024,0.432367
2,1,2,3.000000,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409091,0.136364,0.045455,0.227273,0.062701,0.072359
0,1,2,15.000000,52,0,0,0,0,0,0,0,0,0,0,0,0,11,0.400000,0.000000,0.200000,2.000000,0.129076,0.009523
2,13,9,36.230769,139,63,62,335,187,4,1,4,1,110,17,2,1,8,1.954545,0.318182,0.045455,0.727273,0.286662,0.004297
2,7,3,42.857143,128,0,0,0,0,0,0,0,0,0,0,1,0,0,0.954545,0.227273,0.000000,0.318182,0.495189,0.954998
1,0,3,0.000000,70,0,0,0,25,62,7,62,7,1394,158,0,0,0,0.466667,0.133333,0.000000,0.000000,0.067158,0.038976
0,2,2,14.000000,89,0,0,0,0,316,48,316,48,7959,1224,0,0,0,0.600000,0.000000,0.600000,2.000000,0.129073,0.235612
0,1,4,7.000000,124,1,1,0,0,130,12,130,12,3621,328,0,0,0,1.200000,0.000000,0.200000,1.600000,0.735529,0.098930
1,1,2,26.000000,370,8,8,0,0,32,20,32,20,917,542,0,0,44,0.133333,0.000000,0.000000,0.266667,0.303063,0.171128
