priority,NCommentT,NActor,meanCommentSize,ticketCleanedBodyLen,nticketsByCreatorOpen,nClosedticketsByCreatorOpen,nCommentsByCreator,NCommentByActorsT,NticketsCreatedInProject,NticketsCreatedInProjectT,NticketsCreatedInProjectClosed,NticketsCreatedInProjectClosedT,NActivityInProject,NActivityInProjectT,chainLength,longTimeHold,lateTriageDays,InitialActivityCount,InitialActionCount,recentActionCount,recentActivityCount,activitysequence,projectCoverage
0,9,8,11.888889,95,0,0,0,0,43,6,43,6,1454,191,2,1,0,3.200000,0.400000,0.200000,3.600000,0.094027,0.813395
0,21,14,41.809524,126,11,11,0,0,536,58,536,58,12874,1354,0,0,0,8.200000,1.800000,0.800000,5.600000,0.090202,0.235612
0,2,7,11.000000,582,9,9,25,18,15,2,15,2,497,64,0,0,0,2.800000,0.000000,0.000000,1.000000,0.121186,0.108369
0,1,4,32.000000,73,0,0,63,20,14,1,12,1,492,38,0,0,0,0.800000,0.000000,0.000000,0.400000,0.884177,0.231633
1,0,3,0.000000,91,7,7,0,0,5,1,5,1,82,20,0,0,0,0.266667,0.000000,0.000000,0.000000,0.929225,0.299262
2,1,4,4.000000,77,134,133,501,159,7,1,7,1,243,28,1,1,6,0.136364,0.000000,0.045455,0.545455,0.632630,0.469166
1,4,6,13.500000,115,7,7,16,561,117,18,117,18,3893,683,0,0,37,1.200000,0.000000,0.200000,1.400000,0.050687,0.182769
1,3,6,25.666667,222,1,1,47,26,21,6,19,5,598,143,0,0,13,0.466667,0.066667,0.133333,1.533333,0.563610,0.231633
2,7,7,1525.571429,153,51,51,0,0,19,7,19,7,578,191,3,0,0,1.227273,0.363636,0.000000,0.545455,0.399503,0.004194
1,1,3,11.000000,61,5,5,0,0,110,15,110,15,3845,441,0,0,44,0.266667,0.000000,0.133333,0.800000,0.117503,0.357736
1,1,5,22.000000,139,2,2,36,45,42,6,42,6,1150,157,0,0,3,0.733333,0.000000,0.000000,0.266667,0.556028,0.171128
1,0,4,0.000000,330,9,9,25,150,2,1,2,1,55,31,0,0,0,0.400000,0.000000,0.000000,0.000000,0.399220,0.169907
0,6,9,75.500000,179,0,0,0,0,7,1,7,1,189,25,0,0,0,2.600000,0.200000,0.400000,2.200000,0.100768,0.067883
2,7,7,84.428571,161,0,0,0,0,5,0,5,0,208,0,1,0,0,1.681818,0.409091,0.000000,0.636364,0.051391,0.096658
0,0,2,0.000000,182,14,14,0,0,26,3,25,3,971,90,0,0,0,0.600000,0.000000,0.000000,0.000000,0.319440,0.243265
1,0,4,0.000000,241,0,0,0,68,0,0,0,0,0,0,1,0,0,0.466667,0.066667,0.000000,0.000000,0.039138,0.356674
2,1,3,10.000000,90,92,91,396,52,1,0,1,0,28,0,0,0,21,0.318182,0.000000,0.000000,0.045455,0.750929,0.281452
0,5,5,16.600000,66,0,0,0,0,1,0,1,0,31,0,0,0,0,2.600000,0.200000,0.200000,1.800000,0.120282,0.452352
